Primary_applicant_age_in_years,Gender,Number_of_dependents,Years_at_current_residence,Has_been_employed_for_at_least,Has_been_employed_for_at_most,Foreign_worker,Savings_account_balance,Balance_in_existing_bank_account_(lower_limit_of_bucket),Balance_in_existing_bank_account_(upper_limit_of_bucket),Months_loan_taken_for,Principal_loan_amount,EMI_rate_in_percentage_of_disposable_income,Has_coapplicant,Has_guarantor,Number_of_existing_loans_at_this_bank,high_risk_applicant,H_for free,H_own,H_rent,P_FF&E,P_business,P_career development,P_domestic appliances,P_education,P_electronic equipment,P_new vehicle,P_repair costs,P_used vehicle,OTHR_EMI_PLANS_bank,OTHR_EMI_PLANS_none,OTHR_EMI_PLANS_stores,EMP_STATUS_management / self-employed / highly qualified employee / officer,EMP_STATUS_skilled employee / official,EMP_STATUS_unemployed / unskilled - non-resident,EMP_STATUS_unskilled - resident,P_building society savings agreement/life insurance,P_car or other,P_none,P_real estate,LOAN_HIST_all loans at this bank paid back duly,LOAN_HIST_critical/pending loans at other banks,LOAN_HIST_delay in paying off loans in the past,LOAN_HIST_existing loans paid back duly till now,LOAN_HIST_no loans taken/all loans paid back duly
67,1,1,4,4,0,1,0,0,1,6,1169000,4,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
22,0,1,2,2,3,1,1,1,2,48,5951000,2,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
49,1,2,3,3,4,1,1,0,0,12,2096000,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
45,1,2,4,3,4,1,1,0,1,42,7882000,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
53,1,2,4,2,3,1,1,0,1,24,4870000,3,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
35,1,2,4,2,3,1,0,0,0,36,9055000,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
53,1,1,4,4,0,1,3,0,0,24,2835000,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
35,1,1,2,2,3,1,1,1,2,36,6948000,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
61,1,1,4,3,4,1,4,0,0,12,3059000,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
28,1,1,2,0,1,1,1,1,2,30,5234000,4,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
25,0,1,1,1,2,1,1,1,2,12,1295000,3,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
24,0,1,4,1,2,1,1,0,1,48,4308000,3,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
22,0,1,1,2,3,1,1,1,2,12,1567000,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
60,1,1,4,4,0,1,1,0,1,24,1199000,4,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
28,0,1,4,2,3,1,1,0,1,15,1403000,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
32,0,1,2,2,3,1,2,0,1,24,1282000,4,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
53,1,1,4,4,0,1,0,0,0,24,2424000,4,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
25,1,1,3,1,2,1,0,0,1,30,8072000,2,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
44,0,1,2,4,0,1,1,1,2,24,12579000,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
31,1,2,2,4,0,1,3,0,0,24,3430000,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
48,1,1,4,2,3,1,1,0,0,9,2134000,4,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
44,1,2,3,2,3,1,3,0,1,6,2647000,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
48,1,2,3,1,2,0,1,0,1,10,2241000,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
44,1,1,4,1,2,1,2,1,2,12,1804000,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
26,1,1,1,2,3,0,0,0,0,10,2069000,2,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
36,1,1,2,2,3,1,1,0,1,6,1374000,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
39,1,1,4,4,0,1,1,0,0,6,426000,4,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
42,0,1,3,2,3,1,4,2,0,12,409000,3,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0
34,1,1,2,2,3,1,1,1,2,7,2415000,3,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
63,1,1,4,4,0,1,1,0,1,60,6836000,3,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
36,1,1,3,1,2,1,4,1,2,18,1913000,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
27,1,1,2,2,3,1,1,0,1,24,4020000,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
30,1,1,2,2,3,1,2,1,2,18,5866000,2,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
57,1,1,4,4,0,1,0,0,0,12,1264000,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
33,0,1,1,1,2,1,1,2,0,12,1474000,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
25,1,1,2,1,2,1,1,1,2,45,4746000,4,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
31,1,1,3,2,3,1,1,0,0,48,6110000,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
37,1,1,2,2,3,1,1,2,0,18,2100000,4,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
37,1,1,2,2,3,1,1,2,0,10,1225000,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
24,1,1,3,2,3,1,1,1,2,9,458000,4,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
30,1,1,2,4,0,1,3,0,0,30,2333000,4,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
26,1,1,1,2,3,1,3,1,2,12,1158000,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
44,1,2,4,2,3,1,1,1,2,18,6204000,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
24,1,1,4,3,4,1,2,0,1,30,6187000,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
58,0,1,4,4,0,1,1,0,1,48,6143000,4,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
35,0,1,4,1,2,1,1,0,0,11,1393000,4,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
39,1,1,4,4,0,1,3,0,0,36,2299000,4,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
23,0,1,2,0,1,1,3,0,1,6,1352000,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
39,1,1,4,2,3,1,1,0,0,11,7228000,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
28,0,1,2,2,3,1,2,0,0,12,2073000,4,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
29,1,1,2,1,2,1,0,1,2,24,2333000,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
30,1,1,2,4,0,1,1,1,2,27,5965000,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
25,1,1,2,2,3,1,1,0,0,12,1262000,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
31,1,1,1,2,3,1,0,0,0,18,3378000,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
57,1,1,4,4,0,1,1,1,2,36,2225000,4,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
26,1,2,2,2,3,1,0,0,0,6,783000,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
52,1,1,1,0,1,1,0,1,2,12,6468000,2,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
31,0,1,2,2,3,1,1,0,0,36,9566000,2,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
23,0,1,2,4,0,1,1,2,0,18,1961000,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
23,0,1,4,1,2,1,1,0,1,36,6229000,4,1,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
27,1,1,1,2,3,1,1,1,2,9,1391000,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
50,1,1,4,4,0,1,0,1,2,15,1537000,4,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
61,1,1,4,4,0,1,1,1,2,36,1953000,4,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
25,1,1,2,2,3,1,1,1,2,48,14421000,2,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
26,0,1,4,1,2,1,1,0,0,24,3181000,4,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
48,1,2,4,4,0,1,0,0,0,27,5190000,4,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
29,0,1,2,1,2,1,1,0,0,12,2171000,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
22,1,1,1,2,3,1,4,1,2,12,1007000,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
37,1,1,4,2,3,1,1,0,0,36,1819000,4,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
25,0,1,4,2,3,1,0,0,0,36,2394000,4,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
30,0,1,2,2,3,1,1,0,0,36,8133000,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
46,1,1,2,4,0,1,0,0,0,7,730000,4,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
51,1,2,4,4,0,1,1,0,1,8,1164000,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
41,0,1,1,3,4,1,1,1,2,42,5954000,2,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
40,1,1,4,4,0,1,0,0,1,36,1977000,4,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
66,1,1,4,4,0,1,1,0,1,12,1526000,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
34,1,1,3,1,2,1,1,0,1,42,3965000,4,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
51,1,1,4,3,4,1,1,1,2,11,4771000,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
39,1,2,2,2,3,1,0,0,0,54,9436000,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
22,1,1,1,1,2,1,1,1,2,30,3832000,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
44,0,1,1,1,2,1,0,0,0,24,5943000,1,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
47,1,1,3,4,0,1,3,0,0,15,1213000,4,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
24,0,1,4,2,3,1,2,0,0,18,1568000,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
58,0,1,4,4,0,1,1,0,1,24,1755000,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
52,1,1,4,4,0,1,1,0,1,10,2315000,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
29,0,1,2,2,3,1,1,0,0,12,1412000,4,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
27,0,1,1,1,2,1,1,1,2,18,1295000,4,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
47,1,2,4,2,3,1,2,1,2,36,12612000,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
30,1,2,3,3,4,1,2,0,1,18,2249000,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
28,1,1,3,3,4,1,1,0,1,12,1108000,4,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
56,1,1,4,4,0,1,1,0,0,12,618000,4,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
54,1,1,3,4,0,1,1,0,1,12,1409000,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
33,0,2,3,4,0,1,0,0,0,12,797000,4,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
20,1,1,4,4,0,1,0,2,0,24,3617000,4,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
54,1,1,4,4,0,1,4,1,2,12,1318000,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
58,1,1,4,1,2,1,1,1,2,54,15945000,3,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
61,0,1,2,3,4,1,0,0,0,12,2012000,4,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
34,1,1,4,2,3,1,2,1,2,18,2622000,4,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
36,1,1,4,4,0,1,1,1,2,36,2337000,4,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
36,1,2,4,3,4,1,0,1,2,20,7057000,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
41,1,1,4,4,0,1,2,0,0,24,1469000,4,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
24,1,1,4,3,4,1,1,1,2,36,2323000,4,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
24,0,1,2,2,3,1,1,0,0,6,932000,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
35,1,1,3,3,4,1,1,1,2,9,1919000,4,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
26,1,1,4,1,2,1,0,0,0,12,2445000,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
39,1,2,3,2,3,1,1,1,2,24,11938000,2,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
39,1,2,4,4,0,1,1,0,0,18,6458000,2,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
32,1,1,2,3,4,1,1,1,2,12,6078000,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
30,0,1,2,1,2,0,0,0,1,24,7721000,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
35,1,1,2,4,0,1,3,1,2,14,1410000,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
31,1,2,2,4,0,1,2,1,2,6,1449000,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
23,0,1,4,1,2,1,1,2,0,15,392000,4,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
28,1,1,3,3,4,1,1,1,2,18,6260000,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
25,0,1,2,2,3,1,1,0,0,36,7855000,4,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
35,1,1,1,4,0,1,3,0,1,12,1680000,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
47,1,1,1,4,0,1,0,0,0,48,3578000,4,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
30,0,1,3,3,4,1,0,0,1,42,7174000,4,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
27,0,1,3,1,2,0,0,0,1,10,2132000,2,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
23,0,1,4,2,3,1,3,0,1,33,4281000,1,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
36,1,1,3,3,4,1,3,1,2,12,2366000,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
25,0,1,2,2,3,1,1,0,1,21,1835000,3,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
41,0,1,2,4,0,1,1,0,0,24,3868000,4,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
24,1,1,2,2,3,1,1,0,0,12,1768000,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
63,1,1,4,4,0,1,1,2,0,10,781000,4,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
27,0,1,3,1,2,1,0,1,2,18,1924000,4,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
30,1,1,2,2,3,1,1,0,1,12,2121000,4,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
40,1,1,2,2,3,1,1,0,1,12,701000,4,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
30,1,1,2,2,3,1,1,1,2,12,639000,4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
34,1,1,2,0,1,1,1,1,2,12,1860000,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
29,0,1,2,2,3,1,1,0,1,12,3499000,3,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
24,0,1,2,3,4,1,0,1,2,48,8487000,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
29,1,1,3,2,3,1,1,0,1,36,6887000,4,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
