Primary_applicant_age_in_years,Gender,Number_of_dependents,Years_at_current_residence,Has_been_employed_for_at_least,Has_been_employed_for_at_most,Foreign_worker,Savings_account_balance,Balance_in_existing_bank_account_(lower_limit_of_bucket),Balance_in_existing_bank_account_(upper_limit_of_bucket),Months_loan_taken_for,Principal_loan_amount,EMI_rate_in_percentage_of_disposable_income,Has_coapplicant,Has_guarantor,Number_of_existing_loans_at_this_bank,high_risk_applicant,H_for free,H_own,H_rent,P_FF&E,P_business,P_career development,P_domestic appliances,P_education,P_electronic equipment,P_new vehicle,P_repair costs,P_used vehicle,OTHR_EMI_PLANS_bank,OTHR_EMI_PLANS_none,OTHR_EMI_PLANS_stores,EMP_STATUS_management / self-employed / highly qualified employee / officer,EMP_STATUS_skilled employee / official,EMP_STATUS_unemployed / unskilled - non-resident,EMP_STATUS_unskilled - resident,P_building society savings agreement/life insurance,P_car or other,P_none,P_real estate,LOAN_HIST_all loans at this bank paid back duly,LOAN_HIST_critical/pending loans at other banks,LOAN_HIST_delay in paying off loans in the past,LOAN_HIST_existing loans paid back duly till now,LOAN_HIST_no loans taken/all loans paid back duly
27,1,1,3,1,2,1,1,0,0,15,2708000,2,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
47,1,1,4,2,3,1,1,0,0,18,1984000,4,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
21,0,1,4,3,4,1,2,0,0,60,10144000,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
38,0,1,2,4,0,1,0,0,0,12,1240000,4,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
27,1,1,2,2,3,1,4,0,0,27,8613000,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
66,1,1,3,2,3,1,3,1,2,12,766000,4,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
35,1,1,2,3,4,1,0,1,2,15,2728000,4,0,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
44,0,1,2,2,3,1,1,2,0,12,1881000,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
27,1,1,2,1,2,0,4,2,0,6,709000,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
30,0,1,1,1,2,1,1,1,2,36,4795000,4,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
27,1,1,2,2,3,1,1,0,1,27,3416000,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
22,1,1,2,2,3,1,1,0,1,18,2462000,2,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
23,0,1,4,1,2,1,1,0,0,21,2288000,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
30,1,1,2,3,4,1,2,1,2,48,3566000,4,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
39,0,1,4,4,0,1,1,0,1,6,860000,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
51,0,1,3,3,4,1,2,0,0,12,682000,4,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
28,1,1,2,2,3,1,1,0,1,36,5371000,3,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
46,1,1,4,4,0,1,4,0,0,18,1582000,4,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
42,1,2,4,4,0,1,2,0,0,6,1346000,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
38,1,1,4,2,3,0,1,0,0,10,1924000,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
24,1,1,1,2,3,1,1,2,0,36,5848000,4,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
29,0,1,4,4,0,1,4,1,2,24,7758000,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
36,1,1,4,3,4,1,2,1,2,24,6967000,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
20,0,1,4,2,3,1,1,0,1,12,1282000,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
48,1,2,4,4,0,0,2,0,1,9,1288000,3,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
45,1,1,1,4,0,1,1,0,1,12,339000,4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
38,1,1,3,3,4,1,2,1,2,24,3512000,2,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
34,1,2,2,2,3,1,0,0,0,6,1898000,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
36,1,2,4,4,0,1,2,0,0,24,2872000,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
30,0,1,1,1,2,1,1,0,0,18,1055000,4,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
36,1,1,3,3,4,1,3,0,0,15,1262000,4,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
70,1,1,4,0,1,1,1,1,2,10,7308000,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
36,1,1,4,4,0,1,3,0,0,36,909000,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
32,1,1,2,2,3,1,3,0,0,6,2978000,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
33,0,1,2,0,1,1,1,0,1,18,1131000,4,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
20,0,1,1,1,2,1,4,1,2,11,1577000,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
25,0,1,4,3,4,1,1,0,0,24,3972000,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
31,1,1,4,4,0,1,1,1,2,24,1935000,4,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
33,1,2,3,4,0,1,1,0,1,15,950000,4,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
26,0,1,1,2,3,1,1,0,0,12,763000,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
34,0,1,2,0,1,1,1,1,2,24,2064000,3,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
33,1,1,2,2,3,0,1,1,2,8,1414000,4,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
26,1,1,1,1,2,1,1,0,1,21,3414000,2,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
53,0,1,1,0,1,1,0,0,0,30,7485000,4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
42,1,1,1,2,3,1,1,0,1,12,2577000,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
52,1,1,4,4,0,1,3,0,1,6,338000,4,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
31,1,2,2,3,4,1,1,0,0,12,1963000,4,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
65,1,1,4,4,0,1,1,0,1,21,571000,4,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
28,1,1,1,1,2,1,1,0,0,36,9572000,1,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
30,1,1,2,2,3,1,1,1,2,36,4455000,2,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
40,1,2,2,2,3,1,0,0,1,21,1647000,4,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
50,1,1,4,2,3,1,4,0,0,24,3777000,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
36,1,2,4,4,0,1,1,1,2,18,884000,4,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
31,1,1,2,2,3,1,1,0,0,15,1360000,4,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
74,0,2,4,4,0,1,1,1,2,9,5129000,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
68,1,1,3,0,1,1,1,1,2,16,1175000,2,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
20,1,1,1,3,4,1,2,0,1,12,674000,4,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
33,0,1,4,2,3,1,1,1,2,18,3244000,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
54,1,1,3,2,3,1,4,0,0,24,4591000,2,0,0,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
34,1,2,4,3,4,1,2,1,2,48,3844000,4,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
36,1,2,2,2,3,1,1,1,2,27,3915000,4,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
29,1,1,2,3,4,1,1,0,0,6,2108000,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
21,1,1,4,2,3,1,2,1,2,45,3031000,4,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
34,0,1,3,4,0,1,1,1,2,9,1501000,2,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
28,0,1,1,2,3,1,1,0,0,6,1382000,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
27,0,1,4,1,2,1,2,1,2,12,951000,4,0,0,4,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
36,1,1,4,4,0,1,0,1,2,24,2760000,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
40,1,1,3,4,0,1,1,1,2,18,4297000,4,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
52,1,1,2,4,0,1,3,0,0,9,936000,4,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
27,1,1,3,2,3,1,1,0,1,12,1168000,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
26,1,1,4,3,4,1,1,0,0,27,5117000,3,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
21,1,1,4,3,4,1,1,0,1,12,902000,4,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
38,1,2,1,4,0,1,1,0,0,12,1495000,4,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
38,1,2,4,4,0,1,1,0,1,30,10623000,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
43,1,1,4,4,0,1,1,0,0,12,1935000,4,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
26,1,1,3,3,4,1,1,1,2,12,1424000,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
21,1,1,2,2,3,1,1,0,1,24,6568000,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
55,1,1,2,3,4,0,4,0,0,12,1413000,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
33,1,2,2,2,3,1,0,0,0,9,3074000,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
45,0,1,4,4,0,1,0,0,0,36,3835000,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
50,1,1,4,0,1,1,1,0,1,27,5293000,2,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
66,1,1,4,4,0,1,1,2,0,30,1908000,4,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
51,1,1,2,4,0,1,0,0,0,36,3342000,4,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
39,0,1,3,3,4,1,0,1,2,6,932000,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
31,1,1,1,3,4,1,1,0,1,18,3104000,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
23,1,1,2,2,3,1,1,2,0,36,3913000,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
24,1,1,2,2,3,1,1,0,1,24,3021000,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
64,0,1,4,2,3,1,1,0,0,10,1364000,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
26,1,1,1,1,2,1,1,1,2,12,625000,4,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
23,0,1,4,2,3,1,0,0,1,12,1200000,4,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
30,1,1,2,2,3,1,1,0,0,12,707000,4,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
32,1,2,4,2,3,1,0,0,0,24,2978000,4,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
30,1,1,2,2,3,1,1,0,0,15,4657000,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
27,1,1,2,2,3,1,1,0,0,36,2613000,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
27,1,1,2,3,4,1,4,1,2,48,10961000,1,1,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
53,1,1,4,4,0,1,1,0,1,12,7865000,4,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
22,1,1,2,3,4,1,1,0,0,9,1478000,4,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
22,1,1,1,1,2,1,1,0,1,24,3149000,4,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
26,1,1,2,2,3,1,1,2,0,36,4210000,4,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
51,1,1,4,4,0,1,3,0,0,9,2507000,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
35,1,1,1,3,4,1,2,0,0,12,2141000,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
25,1,1,2,2,3,1,1,1,2,18,866000,4,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
42,1,2,1,3,4,1,1,0,0,4,1544000,2,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
30,1,2,2,0,1,1,1,0,1,24,1823000,4,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
23,1,1,2,0,1,1,0,1,2,6,14555000,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
61,1,1,2,4,0,1,2,1,2,21,2767000,4,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
35,0,1,2,2,3,1,1,0,0,12,1291000,4,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
39,1,2,3,4,0,1,1,0,1,30,2522000,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
29,0,1,2,4,0,1,0,0,1,24,915000,4,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
51,1,2,2,3,4,1,1,0,0,6,1595000,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
24,1,2,4,4,0,1,1,0,1,48,4605000,3,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
27,0,1,2,2,3,1,1,0,0,12,1185000,3,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
35,0,2,3,2,3,1,3,0,0,12,3447000,4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
25,1,1,1,3,4,1,1,0,0,24,1258000,4,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
52,1,1,4,4,0,1,1,0,0,12,717000,4,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
35,1,1,1,2,3,0,2,0,0,6,1204000,4,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
26,1,1,2,2,3,1,1,2,0,24,1925000,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
22,0,1,4,0,1,1,1,0,0,18,433000,3,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
39,0,1,4,3,4,1,4,0,1,6,666000,3,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
46,0,1,2,2,3,1,1,2,0,12,2251000,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
24,0,1,2,2,3,1,1,1,2,30,2150000,4,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
35,1,1,3,2,3,1,2,0,0,24,4151000,2,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
24,1,1,1,3,4,1,0,1,2,9,2030000,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
27,1,1,1,2,3,1,0,1,2,60,7418000,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
35,1,1,2,2,3,1,1,0,0,24,2684000,4,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
29,1,1,1,2,3,1,1,0,1,12,2149000,4,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
23,0,1,4,1,2,1,2,0,0,15,3812000,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
57,0,1,4,0,1,1,2,0,0,11,1154000,4,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
27,1,1,2,2,3,1,1,0,1,12,1657000,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
55,0,1,4,4,0,1,1,0,1,24,1603000,4,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
36,1,1,4,4,0,1,1,0,1,18,5302000,2,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
57,0,1,4,4,0,1,1,0,0,12,2748000,2,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
32,1,2,4,4,0,0,1,0,0,10,1231000,3,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
37,1,2,3,4,0,1,1,1,2,15,802000,4,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
36,1,1,4,4,0,1,0,0,0,36,6304000,4,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
38,0,1,3,1,2,1,1,0,0,24,1533000,4,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
45,1,1,4,4,0,0,1,0,1,14,8978000,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
25,1,1,2,4,0,1,0,0,0,24,999000,4,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
32,1,1,3,3,4,0,0,0,0,18,2662000,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
37,0,1,4,3,4,1,3,0,0,12,1402000,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
36,1,1,4,0,1,1,0,1,2,48,12169000,4,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
28,1,1,4,3,4,1,1,1,2,48,3060000,4,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
34,1,1,1,1,2,1,1,0,1,30,11998000,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
32,1,2,2,2,3,1,1,0,0,9,2697000,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
